code	city	company_name	main_activity	operating_revenue	total_assets	revenue_range
EC1760002870001	LUIS CORDERO	BANCO ECUATORIANO DE LA VIVIENDA	Services	73502	153333	43674
EC1790864316001	QUITO	BANCO GENERAL RUMINAHUI SA	Services	12830	140510	5118
EC1790098354001	QUITO	BANCO INTERNACIONAL, S.A.	Services	176371	2559327	127579
EC17345	QUITO	BANCO NACIONAL DE FOMENTO	Services	114243	1564994	43674
EC0990077185001	QUITO	BANCO PARA LA ASISTENCIA COMUNITARIA FINCA S.A.	Services	8539	42008	5118
EC1790010937001	QUITO	BANCO PICHINCHA C.A.	Services	1236135	13187939	1088652
EC1791269225001	QUITO	BANCO PROCREDIT SA	Services	32888	386756	14951
EC1790477142001	QUITO	BANCO PROMERICA	Services	44827	825568	43674
EC1791109384001	QUITO	BANCO SOLIDARIO	Services	94602	677587	43674
EC1791281322001	QUITO	BANCO SUDAMERICANO (ECUADOR)	Services	1042	12181	600
EC0991322752001	GUAYAQUIL	BASESURCORP S.A.	Wholesale	37663	14408	14951
EC0991415548001	QUITO	BAUER & CO. S.A.	Services	2391	0	1752
EC0990036152001	QUITO	BAYER S.A.	Manufacturing	5996	0	5118
EC1792185483001	QUITO	BELECH FIRE & RESCUE CIA. LTDA.	Services	2944	0	1752
EC1791991419001	QUITO	BENALCAZAR ESCOBAR BENESC SEGURIDAD CIA. LTDA.	Wholesale	626	0	600
EC1791856031001	QUITO	BIOREMEDIACION BIOX CIA. LTDA.	Services	824	0	600
EC0992386622001	GUAYAQUIL	BISERVICSA S.A.	Manufacturing	1342	0	600
EC0992346043001	GUAYAQUIL	BISSONLINE S.A.	Manufacturing	897	0	600
EC1792184134001	GUAYAQUIL	BLACK & DECKER DEL ECUADOR S.A.	Services	1702	0	600
EC0991364277001	GUAYAQUIL	BLASTI S.A.	Services	2270	0	1752
EC1792326583001	QUITO	BLUE CELL SEGURIDAD INDUSTRIAL S.A.	Services	749	0	600
EC1791301692001	QUITO	BMI DEL ECUADOR, COMPANIA DE SEGUROS DE VIDA SA	Services	24751	22597	14951
EC1390146422001	GUAYAQUIL	BODYGUARD SECURITY COMPANIA LIMITADA	Services	4052	0	1752
EC0990093490001	GUAYAQUIL	BOLIVAR, COMPANIA DE SEGUROS DEL ECUADOR SA	Services	3224	18415	1752
EC0992505338001	GUAYAQUIL	BONUDIEM S.A.	Services	2151	0	1752
EC0992854790001	GUAYAQUIL	BOXEVES S.A.	Services	2415	0	1752
EC0190339165001	CUENCA	BPHARMALATAM CIA. LTDA.	Services	1101	0	600
EC1791882539001	QUITO	BRAVO CAMINO CONSULTORES CIA. LTDA	Services	818	0	600
EC0991415858001	GUAYAQUIL	BREMAX S.A.	Wholesale	908	0	600
EC1791771346001	QUITO	BRIDGECOM S.A	Services	1116	0	600
EC1791782402001	QUITO	BUPA ECUADOR SA, COMPANIA DE SEGUROS Y REASEGUROS	Services	26219	18524	14951
EC1791432037001	QUITO	BUSTAMANTE & BUSTAMANTE PATENTES Y MARCAS CIA. LTDA.	Manufacturing	1205	0	600
EC1790484793001	QUITO	BUSTAMANTE Y BUSTAMANTE CIA. LTDA.	Services	1479	0	600
EC0992502169001	GUAYAQUIL	C&E INGENIERIA Y CONSTRUCCIONES S.A.	Wholesale	914	0	600
EC1791886380001	QUITO	CABLEUNION S.A	Services	7653	0	5118
EC0990581827001	GUAYAQUIL	CABLEVISION SA	Manufacturing; Wholesale	4292	0	1752
EC0992725869001	NARANJAL	CACAO DREAM DEL ECUADOR S.A. DREAMCACAO	Manufacturing	11111	0	5118
EC17398	BIBLIAN	CACPE BIBLIAN	Services	7133	106512	5118
EC17464	QUITO	CACPECO COOPERATIVA DE AHORRO Y CREDITO	Services	16213	175972	14951
EC20720	QUITO	CAJA CENTRAL FINANCOOP	Services	2852	107266	1752
EC0990135630001	GUAYAQUIL	CALBAQ S.A	Manufacturing	21599	13625	14951
EC1792127750001	QUITO	CALOCASTRO & PUBLICIDAD S.A.	Services	1754	0	1752
EC17517	ROCAFUERTE	CAMARA DE COMERCIO DE AMBATO	Services	7099	114105	5118
EC1790268594001	QUITO	CAMINOSCA S.A.	Services	23716	32774	14951
EC0991304436001	GUAYAQUIL	CAMPOSANTOS DEL ECUADOR S.A.	Services	10061	58300	5118
EC1791431960001	CONOCOTO	CAMPUSTREKKING CIA. LTDA.	Services	1540	0	600
EC1791840690001	NAYON	CANAL UNO S.A	Wholesale	989	0	600
EC0992728078001	EL TRIUNFO	CANICORP S.A.	Wholesale	5541	0	5118
EC0990734011001	SAMBORONDON	CANODROS C.L.	Manufacturing	14529	0	5118
EC1792460093001	QUITO	CARINNOVADOR S.A.	Manufacturing	696	0	600
EC0992126981001	GUAYAQUIL	CARIOCA - JO S.A. (CARJOSA)	Manufacturing	853	0	600
EC1792231167001	QUITO	CARPINTEX R&D CIA. LTDA.	Services	2369	0	1752
EC0991259546001	GUAYAQUIL	CARRO SEGURO CARSEG S.A.	Services	26249	13900	14951
EC1792390850001	QUITO	CARTELLA COMUNICACIONES PUBLICAS CIA. LTDA.	Manufacturing	1214	0	600
EC0991400427001	GUAYAQUIL	CARTIMEX S.A.	Wholesale	84392	44867	43674
EC0991434879001	GUAYAS	CARVAGU S.A.	Manufacturing	27103	20207	14951
EC1790004392001	QUITO	CASA MOELLER MARTINEZ C.A.	Services	23398	17088	14951
EC1790009459001	QUITO	CASABACA S.A.	Retail	120531	60051	43674
EC1791714601001	QUITO	CATERPREMIER S.A.	Services	13435	8726	5118
EC0991314318001	GUAYAQUIL	CELECBOR S.A.	Wholesale	971	0	600
EC0990582505001	QUITO	CELECTRO S.A.	Manufacturing	713	0	600
EC0991407723001	GUAYAQUIL	CELMARKET S.A.	Services	3003	0	1752
EC0791717345001	MACHALA	CELPLUS S.A.	Wholesale	1666	0	600
EC0690000261001	QUITO	CEMENTO CHIMBORAZO C.A.	0	47350	113053	43674
EC1792142520001	PIFO	CENFERZA CIA. LTDA.	Services	2052	0	1752
EC0992746556001	GUAYAQUIL	CENTICONSTRU S.A.	Services	800	0	600
EC1791242785001	QUITO	CENTRO AEREO TRANSEXPRESS ECUATORIANO CIA. LTDA.	Services	731	0	600
EC2191701146001	NUEVA LOJA	CENTRO COMERCIAL CECOMBAR CIA.LTDA	Wholesale	915	0	600
EC0992628243001	GUAYAQUIL	CENTRO DE ACONDICIONAMIENTO JORGE BASANTES CIA. LTDA.	Services	1047	0	600
EC0691716570001	RIOBAMBA	CENTRO DE CAPACITACION Y CONDUCCION DE MANEJO CENTERDRIVE CIA. LTDA.	Manufacturing	1271	0	600
EC1791167074001	SANTO DOMINGO	CENTRO DE COMBUSTIBLES ECONOMICOS COMBUSCENTER CIA. LTDA.	Manufacturing	1351	0	600
EC0990706026001	GUAYAQUIL	CENTRO EDUCATIVO INTEGRAL CENEICA SA	Services	9243	18964	5118
EC1790311015001	QUITO	CENTRO GRAFICO CEGRAFICO S.A.	Services	3445	3649	1752
EC1790457303001	QUITO	CENTRO MEDICO QUIRURGICO PICHINCHA CENMEP SA	Services	1463	0	600
EC0991360042001	GUAYAQUIL	CENTURIOSA S.A.	Wholesale	9412	6717	5118
EC1890142474001	SANTA ROSA	CEPOLFI INDUSTRIAL C.A.	Manufacturing	1230	0	600
EC0992778814001	NARCISA DE JESUS NOBOL	CEPROCHIV S.A.	Services	738	0	600
EC1790003388001	QUITO	CEPSA S.A.	Wholesale	46038	35858	43674
EC0190145840001	CUENCA	CERAMICASA S.A.	Services	751	0	600
EC0992353007001	GUAYAQUIL	CERVA S.A.	Wholesale	660	0	600
EC1791268903001	QUITO	CERVANTES SA, COMPANIA DE SEGUROS Y REASEGUROS	Services	25966	18185	14951
EC0990023549001	GUAYAQUIL	CERVECERIA NACIONAL CN SA	Manufacturing	502548	482535	372678
EC1792345189001	QUITO	CHINA ROAD AND BRIDGE CORPORATION	Manufacturing; Wholesale	4890	0	1752
EC0991237313001	SAMBORONDON	CHIQUITA BANANA ECUADOR CBBRANDS S.A.	Wholesale	5634	0	5118
EC0991280855001	GUAYAQUIL	CHOCOLATES FINOS NACIONALES COFINA S.A.	Wholesale	34050	20441	14951
EC1792312647001	CALDERON CARAPUNGO	CHRISTIAN ALVAREZ & ASOCIADOS CIA. LTDA.	Manufacturing	867	0	600
EC0992231467001	GUAYAQUIL	CIA IMPORTADORA REGALADO S.A.	Wholesale	12841	7158	5118
EC0990521786001	GUAYAQUIL, GUAYAS	CIMENTACIONES GENERALES Y OBRAS PORTUARIAS CIPORT S.A.	Services	4607	11873	1752
EC0992282096001	GUAYAQUIL	CIMEXPRIBA S.A.	Wholesale	918	0	600
EC1791972465001	QUITO	CINTI COMP CIA. LTDA.	Manufacturing	6407	0	5118
EC1792040825001	QUITO	CISCOSYSTEMS ECUADOR S.A.	Services	2819	0	1752
EC0991457135001	GUAYAQUIL	CISENI COMPANIA DE INSPECCIONES Y SERVICIOS NAVALES E INDUSTRIALES S.A.	Manufacturing	1337	0	600
EC1790033295001	QUITO	CITIBANK NA	Wholesale	35079	491251	14951
EC0992441534001	GUAYAQUIL	CITIKOLD S.A.	Wholesale	1642	0	600
EC1792001730001	QUITO	CITYFAST S.A.	Services	730	0	600
EC1792267463001	QUITO	CLUB DEL BUEN BEBER BUENVIN S.A.	Services	3365	0	1752
EC1792353246001	QUITO	COATINGSERVICIOS CIA. LTDA.	Wholesale	924	0	600
EC0990023220001	QUITO	COATS CADENA S.A.	Services	2628	0	1752
EC1790659720001	CUMBAYA	COBISCORP ECUADOR S.A.	Services	11855	0	5118
EC0992378786001	QUITO	CODEPRET S.A.	Services	6551	4162	5118
EC0391013357001	CANAR	COFERCO CIA. LTDA.	Manufacturing	718	0	600
EC1792052580001	QUITO	COGAREP CIA. LTDA.	Wholesale	1647	0	600
EC1791925556001	QUITO	COLCOMEX CORP. S.A.	Wholesale	957	0	600
EC0190110001001	CUENCA	COLINEAL CORPORATION CIA. LTDA.	Manufacturing	43433	51426	14951
EC1792095492001	QUITO	COLLEGESTORES S.A.	Manufacturing	709	0	600
EC1792048699001	QUITO	COLOMBIANA DE TELECOMUNICACIONES COLDECON ECUADOR S.A.	Manufacturing	858	0	600
EC1791350022001	QUITO	COLUMBUSTRAVEL CIA. LTDA.	Manufacturing	1311	0	600
EC0992294361001	GUAYAQUIL	COMARSA S.A.	Wholesale	643	0	600
EC0992478721001	GUAYAQUIL	COMDAMET S.A.	Services	1486	0	600
EC1792315972001	QUITO	COMERCEXPORT S.A.	Wholesale	605	0	600
EC1791816471001	SANTO DOMINGO	COMERCIAL ARWALIC S.A	Services	2263	0	1752
EC1792114101001	QUITO	COMERCIAL CALZACOSTA S.A.	Wholesale	3702	0	1752
EC1790450716001	QUITO	COMERCIAL EUROTEX C LTDA	Wholesale	658	0	600
EC0992543671001	GUAYAQUIL	COMERCIAL JENNY ITURRALDE ARROBO JENITU S.A.	Services	2770	0	1752
EC0591713221001	LATACUNGA	COMERCIAL YUCAILLA CIA. LTDA.	Services	3248	0	1752
EC1190091003001	LOJA	COMERCIALIZADORA DEL AUSTRO COMDELTRO CIA. LTDA.	Services	4273	0	1752
EC0992731710001	GUAYAQUIL	COMERCIALIZADORA GNS CIA. LTDA.	Wholesale	941	0	600
EC1191736008001	LOJA	COMERCIALIZADORA HERRERA ROMAN CIA. LTDA.	Services	1423	0	600
EC30223LE	CUENCA	COMERCIALIZADORA JUAN CARLOS ESPINOZA VINTIMILLA CIA. LTDA	Wholesale	27761	16505	14951
EC1792352428001	QUITO	COMERCIALIZADORA STARPACK CIA. LTDA.	Services	6024	0	5118
EC1791314085001	QUITO	COMERCIALIZADORA Y SERVICIOS BODSTROM CIA. LTDA.	Services	2185	0	1752
EC0992651792001	GUAYAQUIL	COMERCIO Y OTROS S.A. COMERCOTROSA	Services	2129	0	1752
EC1792349524001	CONOCOTO	COMFERVAL CIA. LTDA.	Services	1494	0	600
EC1791920686001	QUITO	COMGIEL S.A	Manufacturing	1304	0	600
EC0990005419001	GUAYAQUIL	COMPANIA AZUCARERA VALDEZ S.A.	Manufacturing	124681	259904	43674
EC0992484314001	GUAYAQUIL	COMPANIA DE ALIMENTOS Y SERVICIOS COALSE S.A.	Manufacturing	1157	0	600
EC0990364451001	GUAYAQUIL	COMPANIA DE DESARROLLO BANANERO DEL ECUADOR BANDECUA SA	Services	2409	0	1752
EC1791930320001	SANTO DOMINGO	COMPANIA DE PROTECCION Y VIGILANCIA COMPROVIG CIA. LTDA.	Services	2285	0	1752
EC0990039399001	GUAYAQUIL	COMPANIA DE RADIO Y TELEVISION CORTEL S.A.	Services	733	0	600
EC0990085838001	GUAYAQUIL	COMPANIA DE SEGUROS CONDOR SA	Services	18537	45528	14951
EC1791430395001	QUITO	COMPANIA DE SEGUROS DE VIDA COLVIDA SA	Services	12357	11711	5118
EC0990022453001	GUAYAQUIL	COMPANIA DE SEGUROS ECUATORIANO-SUIZA SA	Services	54409	56188	43674
ECFEI1022656	QUITO	COMPANIA DE SEGUROS GENERALES PRODUSEGUROS SA	Services	9802	25289	5118
ECFEI1022493	QUITO	COMPANIA DE SEGUROS Y REASEGUROS CENTRO SEGUROS CENSEG SA	Services	8701	8488	5118
EC1791413962001	QUITO	COMPANIA DE SERVICIOS CYBERCELL S.A.	Services	8718	3649	5118
EC2290320774001	PUERTO FRANCISCO DE ORELLANA COCA	COMPANIA DE SERVICIOS PETROLEROS LLORI LLERENA CUATROELE S.A.	Wholesale	958	0	600
EC0990017514001	GUAYAQUIL	COMPANIA DE TIENDAS INDUSTRIALES ASOCIADAS TIA S.A.	Retail	602824	228959	372678
EC0591724932001	LATACUNGA	COMPANIA DE TRANSPORTE DE CARGA PESADA PUZOLANA TRANSPUZOL S.A.	Services	3305	0	1752
EC1792250315001	QUITO	COMPANIA DE TRANSPORTE PESADO Y SERVICIOS COMPLEMENTARIOS CORREA & PAREDES CIA. LTDA.	Manufacturing	701	0	600
EC0992157755001	GUAYAQUIL	COMPANIA METALICA S.A. COMPAMETA	Manufacturing	1269	0	600
EC1792288142001	QUITO	COMPANIA MINERA TERRAMINING RESOURCES S.A.	Manufacturing	1205	0	600
EC0991297952001	GUAYAQUIL	COMPANIA MULTIMODAL OPERADORES PORTUARIOS S.A.	Services	3079	0	1752
EC1792024951001	QUITO	COMPANIA PROMOTORA INMOBILIARIA CARLOS REYES & ASOCIADOS CIA. LTDA.	Wholesale	1832	0	1752
ECFEI1021167	GUAYAQUIL	COMPANIA REASEGURADORA DEL ECUADOR SA	Services	17774	22790	14951
EC0990011524001	DURAN	COMPANIA RECUBRIDORA DE PAPEL S.A.	Services	2644	3723	1752
EC1792463661001	QUITO	COMPANIA REDNET ECUADOR ECUAREDNET S.A.	Manufacturing	829	0	600
EC1792007208001	QUITO	COMPTECO COMPRA POR TELEFONO CONSORCIO COMERCIAL S.A.	Retail	19700	0	14951
EC1792463963001	QUITO	COMPUFACIL S.A.S	Services	1150	0	600
EC1790885186001	QUITO	COMPUTADORES Y EQUIPOS COMPUEQUIP DOS S.A.	Wholesale	35268	18796	14951
EC0992480564001	GUAYAQUIL	COMPUTRY S.A.	Services	1069	0	600
EC0992277874001	GUAYAQUIL	CONCERROAZUL S.A.	Services	21742	24739	14951
EC1091716824001	IBARRA	CONECTACEL CIA. LTDA.	Services	1737	0	600
EC0990794596001	GUAYAQUIL	CONFIANZA COMPANIA DE SEGUROS Y REASEGUROS SA	Services	32679	50223	14951
EC1790084604001	QUITO	CONFITECA C.A.	Manufacturing	61659	49579	43674
EC1790412113001	QUITO	CONJUNTO CLINICO NACIONAL CONCLINA C.A.	Services	64725	87897	43674
EC1792326206001	SANGOLQUI	CONSDIME CONSTRUCCION DISENO METALICO CIA. LTDA.	Manufacturing	1335	0	600
EC0992662743001	GUAYAQUIL	CONSESORIAL S.A.	Services	2517	0	1752
EC1792257042001	QUITO	CONSKUMYI ECUADOR S.A.	Services	1554	0	600
EC0992667702001	GUAYAQUIL	CONSORCIO BELFI - CIPORT	Services	781	0	600
EC1791251237001	GUAYAQUIL	CONSORCIO ECUATORIANO DE TELECOMUNICACIONES S.A. CONECEL	Services	41849	0	14951
EC1391746105001	MANTA	CONSORCIO EISA CONSTRUCTORA E INMOBILIARIA	Wholesale	924	0	600
EC0992835745001	GUAYAQUIL	CONSORCIO EKRON-HELPORT	Wholesale	13521	0	5118
EC0992367318001	GUAYAQUIL	CONSORCIO INMOBILIARIO VELASCO S.A. CONVEL	Services	5232	0	5118
EC1792241936001	QUITO	CONSORCIO STEREOCARTO - AEROMAPA	Services	2744	0	1752
EC0990864802001	GUAYAQUIL	CONSORSAN CONSTRUCTORA ORDONEZ & SANMARTIN C. LTDA	Services	2909	0	1752
EC2390007720001	SANTO DOMINGO	CONSTAMON CONSTRUCCIONES CIA. LTDA.	Manufacturing	1218	0	600
ECFEI1021168	QUITO	CONSTITUCION CA COMPANIA DE SEGUROS	Services	7487	15940	5118
EC0992528737001	GUAYAQUIL	CONSTRUAHORA S.A.	Manufacturing	5806	0	5118
EC0992713313001	GUAYAQUIL	CONSTRUCCIONES DEA S.A. CONSDEA	Manufacturing	850	0	600
EC0591725033001	LATACUNGA	CONSTRUCCIONES MECANICAS ALBAN CIA. LTDA.	Services	2181	0	1752
EC0992693606001	GUAYAQUIL	CONSTRUCCIONES PORTUARIAS Y CIMENTACIONES S.A. - TUNASERV SERVICIOS PORTUARIOS S.A. & ASOCIADOS	Services	3972	0	1752
EC0992657162001	GUAYAQUIL	CONSTRUCCIONES VANESSA S.A. VANEOSA	Manufacturing	1255	0	600
EC1791048814001	QUITO	CONSTRUCCIONES Y SERVICIOS DE MINERIA CONSERMIN S.A.	Services	19797	75290	14951
EC0990802734001	GUAYAQUIL	CONSTRUCTORA ALECONS SA	Services	5261	0	5118
EC0190086003001	QUITO	CONSTRUCTORA BECERRA CUESTA C LTDA	Services	25370	0	14951
EC1891743706001	AMBATO	CONSTRUCTORA CHANGO Y ASOCIADOS CIA. LTDA.	Services	807	0	600
EC0990954429001	GUAYAQUIL	CONSTRUCTORA CONFACING C. LTDA.	Manufacturing; Wholesale	5161	0	5118
EC1191749371001	LOJA	CONSTRUCTORA CONSULTORA ORTEGA Y ORTEGA CCOO CIA. LTDA.	Manufacturing	1274	0	600
EC0992123052001	GUAYAQUIL	CONSTRUCTORA CRIBECA S.A.	Services	2151	0	1752
EC0990923094001	GUAYAQUIL	CONSTRUCTORA E INMOBILIARIA VALERO CONSTRUVALERO S.A.	Services	733	2075	600
EC0992488565001	GUAYAQUIL	CONSTRUCTORA ECUATORIANA S.A. CONSTRURIANA	Services	2132	0	1752
EC0992844248001	GUAYAQUIL	CONSTRUCTORA EQUA LITORAL CONSEQUALISA S.A.	Retail	8272	0	5118
EC0691711358001	RIOBAMBA	CONSTRUCTORA FABYPAL CIA. LTDA.	Services	2126	0	1752
EC1790151506001	QUITO	CONSTRUCTORA IMPORTADORA ALVAREZ BURBANO S.A.	Services	1526	2950	600
EC0190349551001	CUENCA	CONSTRUCTORA LOPEZ GUILLEN CIA. LTDA.	Services	1460	0	600
EC1791958071001	QUITO	CONSTRUCTORA MAZAR IMPREGILO-HERDOIZA CRESPO	Services	396486	0	372678
EC1691702568001	PUYO	CONSTRUCTORA PEREZ DEL ORIENTE CIA. LTDA.	Manufacturing	700	0	600
EC1791105567001	QUITO	CONSTRUCTORA SOLIS CONSOLSAL S.A.	Services	1019	0	600
EC0992800550001	GUAYAQUIL	CONSTRUCTORA TORO LAMA S.A. CONSTORLAM	Wholesale	950	0	600
EC1792331277001	QUITO	CONSTRUCTORA VASCONEZ PAREDES INGENIERIA Y CONSTRUCCION CIA. LTDA.	Services	3313	0	1752
EC0990853037001	GUAYAQUIL	CONSTRUCTORA ZAMBRANO ZAMCONS S. A.	Services	740	0	600
EC0990197555001	GUAYAQUIL	CONSTRUCTORES CIVILES ASOCIADOS CIA LTDA CONCIVA	Wholesale	975	0	600
EC0992737786001	GUAYAQUIL	CONSTRUMARNAN S.A.	Services	1123	0	600
EC0991235396001	GUAYAQUIL	CONSULCREDITO SOCIEDAD FINANCIERA S.A.	Manufacturing	864	9329	600
EC0992260378001	GUAYAQUIL	CONSULTORA AMBIENTAL ECOSAMBITO C. LTDA.	Wholesale	3458	4531	1752
EC1790438163001	QUITO	CONSULTORA DE INGENIERIA ESTUDIOS Y PERFORACION DE SUELOS CIEPER CL	Services	1751	0	600
EC1792281377001	QUITO	CONSULTORA EN GEOTECNOLOGIAS CONSULTGEO CIA. LTDA.	Wholesale	628	0	600
EC0190005070001	QUITO	CONTINENTAL TIRE ANDINA S.A.	Manufacturing	173442	155593	127579
EC0992646764001	GUAYAQUIL	CONTROL TOTAL S.A. CONTROTALSA	Services	2446	0	1752
EC0992671149001	GUAYAQUIL	CONTROLCAR S.A.	Manufacturing	879	0	600
EC17556	RECOLETA	COOPAD	Wholesale	1802	16061	1752
EC1791786181001	QUITO	COOPER GAY ECUADOR C.A.	Services	2475	0	1752
EC54340	CALCETA	COOPERATIVA AHORRO Y CREDITO CALCETA LTDA	Services	2596	19723	1752
EC15785	MANABI	COOPERATIVA DE AHORRO Y CREDITO 15 DE ABRIL LTDA	Manufacturing	6346	77175	5118
EC53517	QUITO	COOPERATIVA DE AHORRO Y CREDITO 23 DE JULIO LTDA	Services	13834	117974	5118
EC53503	QUITO	COOPERATIVA DE AHORRO Y CREDITO 29 DE OCTUBRE LTDA	Services	29994	339752	14951
EC20768	GUAYAQUIL	COOPERATIVA DE AHORRO Y CREDITO 9 DE OCTUBRE LTDA	Manufacturing	1394	11674	600
EC53515	QUITO	COOPERATIVA DE AHORRO Y CREDITO ALIANZA DEL VALLE LTDA	Services	16093	173293	14951
EC53518	QUITO	COOPERATIVA DE AHORRO Y CREDITO ANDALUCIA LTDA	Services	13783	156266	5118
EC53519	ATUNTAQUI	COOPERATIVA DE AHORRO Y CREDITO ATUNTAQUI	Services	13002	131130	5118
EC15829	CHONE	COOPERATIVA DE AHORRO Y CREDITO CHONE LTDA	Services	5274	40281	5118
EC15852	PORTOVIEJO	COOPERATIVA DE AHORRO Y CREDITO COMERCIO LTDA	Manufacturing; Wholesale	4382	44753	1752
EC53502	QUITO	COOPERATIVA DE AHORRO Y CREDITO CONSTRUCCION COMERCIO Y PRODUCCION LTDA	Services	5196	51601	5118
EC54297	QUITO	COOPERATIVA DE AHORRO Y CREDITO COOPROGRESO	Services	27002	313227	14951
EC53505	QUITO	COOPERATIVA DE AHORRO Y CREDITO COTOCOLLAO LTDA	Services	2820	23179	1752
EC15833	LOJA	COOPERATIVA DE AHORRO Y CREDITO DE LA PEQUENA EMPRESA CACPE LOJA	Manufacturing; Wholesale	4302	49516	1752
EC53501	LATACUNGA	COOPERATIVA DE AHORRO Y CREDITO DE LA PEQUENA EMPRESA DE COTOPAXI LTDA	Manufacturing	17105	182785	14951
EC15851	PUYO	COOPERATIVA DE AHORRO Y CREDITO DE LA PEQUENA EMPRESA DE PASTAZA	Services	6814	76043	5118
EC54295	QUITO	COOPERATIVA DE AHORRO Y CREDITO DESARROLLO DE LOS PUEBLOS CODESARROLLO	Services	10026	107103	5118
EC53510	AMBATO	COOPERATIVA DE AHORRO Y CREDITO EL SAGRARIO LTDA	Services	10843	129067	5118
EC15905	SPRINGFIELD	COOPERATIVA DE AHORRO Y CREDITO GUARANDA LTDA	Services	2948	36682	1752
EC20724	CUENCA	COOPERATIVA DE AHORRO Y CREDITO JARDIN AZUAYO	Services	32988	459872	14951
EC20730	CUENCA	COOPERATIVA DE AHORRO Y CREDITO JUVENTUD ECUATORIANA PROGRESISTA LTDA	Services	59854	828927	43674
EC20731	DURAN	COOPERATIVA DE AHORRO Y CREDITO LA DOLOROSA	Services	1444	12201	600
EC20736	AMBATO	COOPERATIVA DE AHORRO Y CREDITO MUSHUC RUNA	Retail; Services	15438	157782	14951
EC15882	EL ORO MACHALA	COOPERATIVA DE AHORRO Y CREDITO ONCE DE JUNIO LTDA	Services	4073	44712	1752
EC53516	GUAYAQUIL	COOPERATIVA DE AHORRO Y CREDITO OSCUS LTDA	Services	19550	297931	14951
EC20740	TULCAN	COOPERATIVA DE AHORRO Y CREDITO PABLO MUNOZ VEGA	Services	10215	103048	5118
EC15883	EL ORO, PINAS	COOPERATIVA DE AHORRO Y CREDITO PADRE JULIAN LORENTE LTDA	Services	3316	35606	1752
EC20749	ESQUINA	COOPERATIVA DE AHORRO Y CREDITO RIOBAMBA	Services	19493	239198	14951
EC53520	QUITO	COOPERATIVA DE AHORRO Y CREDITO SAN FRANCISCO DE ASIS LTDA	Services	3934	25208	1752
EC20748	AMBATO	COOPERATIVA DE AHORRO Y CREDITO SAN FRANCISCO LTDA	Services	22328	250964	14951
EC20752	SAN JOSE DE CHIMBO	COOPERATIVA DE AHORRO Y CREDITO SAN JOSE	Manufacturing	6417	93585	5118
EC20755	SANTA ANA	COOPERATIVA DE AHORRO Y CREDITO SANTA ANA LTD	Services	1408	12079	600
EC20759	MACHALA	COOPERATIVA DE AHORRO Y CREDITO SANTA ROSA	Services	10661	100853	5118
EC20761	ESQUINA	COOPERATIVA DE AHORRO Y CREDITO TULCAN LTDA	Manufacturing	8964	90894	5118
EC20734	LOJA	COOPMEGO	Services	11805	236493	5118
ECFEI1021165	QUITO	COOPSEGUROS DEL ECUADOR SA COMPANIA DE SEGUROS Y REASEGUROS	Services	10748	9339	5118
EC0992512369001	GUAYAQUIL	COPYRED S.A.	Wholesale	952	0	600
EC0992760796001	GUAYAQUIL	CORAGROFRUT S.A.	Manufacturing	1288	0	600
EC1792247934001	QUITO	CORMOVILTELCO S.A.	Manufacturing; Wholesale	4297	0	1752
EC0992229047001	GUAYAQUIL	CORNEMO S.A.	Wholesale	998	0	600
EC0190167348001	CUENCA	CORPORACION AZENDE S.A.	Wholesale	35720	51772	14951
EC0992514272001	GUAYAQUIL	CORPORACION CATARINO SOCIEDAD ANONIMA	Manufacturing	705	0	600
EC0992426357001	GUAYAQUIL	CORPORACION CELESTE S.A.	Services	47772	73088	43674
EC30129LE	QUITO	CORPORACION CIVIL BOLSA DE VALORES DE QUITO	Services	2662	5812	1752
EC1790968790001	QUITO	CORPORACION COMERCIAL REYES ''COMREY CIA.LTDA.''	Manufacturing; Wholesale	5143	0	5118
EC1791369378001	QUITO	CORPORACION DE DESARROLLO DE MERCADO SECUNDARIO DE HIPOTECAS CTH S.A.	Services	4500	41534	1752
EC0992530251001	GUAYAQUIL	CORPORACION DELICO CIA. LTDA.	Services	10292	5220	5118
EC1790140083001	QUITO	CORPORACION ECUATORIANA DE ALUMINIO SA CEDAL	Manufacturing; Wholesale	68965	69671	43674
EC0990004196001	GUAYAQUIL	CORPORACION EL ROSADO S.A.	Retail	1051619	620249	372678
EC1790016919001	QUITO	CORPORACION FAVORITA C.A.	Wholesale; Retail	1958295	1342992	1088652
EC1760003090001	QUITO	CORPORACION FINANCIERA NACIONAL CFN	Services	204515	3687398	127579
EC0992161175001	GUAYAQUIL	CORPORACION LATINOAMERICANA DE SOFTWARE SOCIEDAD ANONIMA (C.O.R.L.A.S.O.S.A.)	Services	3147	0	1752
EC0990560536001	GUAYAQUIL	CORPORACION MULTIBG S.A.	Services	6609	139342	5118
EC0992347430001	SAMBORONDON	CORPORACION SAMBORONDON S.A.	Services	32632	28525	14951
EC0992659440001	GUAYAQUIL	CORPTAMA S.A.	Manufacturing	681	0	600
EC0991375430001	GUAYAQUIL	CORRAL ROSALES CARMIGNIANI PEREZ C. L.	Services	1607	0	600
EC1791767071001	GUAYAQUIL	COSMETICOS E-COS S.A.	Manufacturing; Wholesale	4316	0	1752
EC1792042895001	QUITO	COSTA Y SIERRA COMPANIA DE ALIMENTOS Y COMIDAS COMALIMSA S.A.	Wholesale	1830	0	1752
